证券代码,证券简称,"广告宣传推广费(销售费用)
[报告期] 2011年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2012年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2013年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2014年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2015年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2016年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2017年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2018年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2019年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2020年报
[报表类型] 合并报表
[单位] 元","所属证监会行业名称
[交易日期] 最新收盘日
[行业级别] 门类行业"
000001.SZ,平安银行,,,,,,,,,,,金融业
000002.SZ,万科A,,"1,156,355,401.0900","1,561,486,682.9200","1,703,628,579.4200","1,386,333,513.2300","1,544,390,560.8100","1,958,647,774.7300","3,047,777,123.8600","3,426,829,609.4400","3,309,793,867.3800",房地产业
000004.SZ,国华网安,,"6,908,057.4600","5,316,971.1200","5,590,874.6900","6,398,719.2600","9,422,036.5000","72,350,777.8600","268,469,217.1000","82,574,667.4800","3,214,882.6300",信息传输、软件和信息技术服务业
000005.SZ,ST星源,,"235,640.7000","558,553.5000","325,174.2400","1,531,035.2200","298,289.4800","250,757.7700","1,133,177.5700",,"1,895.0200",水利、环境和公共设施管理业
000006.SZ,深振业A,,"65,370,942.5600","50,270,565.1100","55,092,471.2500","52,028,221.7500","35,156,913.9900","23,190,122.4500","20,335,130.2200","19,878,234.0400","14,683,736.9500",房地产业
000007.SZ,*ST全新,,"2,132,375.1900","2,304,880.0400","2,074,972.4500","1,012,682.3400",,,,,"123,571.6200",房地产业
000008.SZ,神州高铁,,"220,660.0000","70,802.0000","593,605.0000","5,536,843.3600","6,916,403.2200","5,032,406.4200","3,106,935.4800","3,385,465.7200","8,759,159.1900",制造业
000009.SZ,中国宝安,,"101,786,680.9000","94,573,704.1200","74,752,407.8900","64,958,956.8600","59,719,228.6300","87,161,864.2000","195,741,831.7600","648,726,030.8900","689,079,540.2400",综合
000010.SZ,美丽生态,,"143,352.0000",,,,,,,,,建筑业
000011.SZ,深物业A,,,,,,,,"11,002,256.6600","6,975,770.0000","10,794,534.1900",房地产业
000012.SZ,南玻A,,,,,,,,,,,制造业
000014.SZ,沙河股份,,"9,729,855.6300","10,348,459.5000","7,644,766.1000","4,017,829.8000","3,842,149.6000","2,385,295.7500","4,067,623.0800","2,651,710.8800","6,137,081.6400",房地产业
000016.SZ,深康佳A,,"849,585,898.5000","849,590,881.2700","666,895,097.3600","689,451,659.8600","671,566,970.9000","592,752,205.9500","717,326,066.9900","805,282,474.7300","622,692,423.9000",制造业
000017.SZ,*ST中华A,,,"1,713,098.0100","721,113.6800","1,474,565.4600","1,035,052.2800","1,328,116.4400","1,052,618.9800","792,290.5500","1,193,544.1700",制造业
000019.SZ,深粮控股,,"1,126,763.2800","8,370,187.4300","9,442,818.7900","6,432,317.1800","3,307,664.7200","448,776.6300","547,154.1700","812,177.0900","844,284.3800",批发和零售业
000020.SZ,深华发A,,,,,,,,,,,制造业
000021.SZ,深科技,,"252,359.5700","152,872.0700",,,,,,"1,411,772.5600","576,857.7500",制造业
000023.SZ,深天地A,,"142,289.0000","2,004,289.3900","3,038,314.6100","3,073,475.0000","3,722,412.4900","5,237,633.1500","5,709,466.5300","5,712,026.8900",,制造业
000025.SZ,特力A,,"1,581,206.7900","1,499,272.6500","1,092,285.3100","594,035.3000","434,329.3900","1,147,158.1300","1,764,907.4600","1,703,759.3700","2,138,496.2100",批发和零售业
000026.SZ,飞亚达,,"99,004,981.4500","133,717,934.8700","151,173,934.0000","149,701,424.9900","134,866,138.9400","163,022,569.4000","186,814,362.0000","155,102,618.4400","129,846,038.0500",批发和零售业
000027.SZ,深圳能源,,,,,,,,,,,电力、热力、燃气及水生产和供应业
000028.SZ,国药一致,,"72,550,049.7400","61,560,772.1300","57,568,618.4300","38,367,210.7300","46,109,018.0100","42,136,107.3200","52,513,151.3700","56,482,482.4900","71,205,972.8500",批发和零售业
000029.SZ,深深房A,,"18,960,161.9600","23,111,772.3200","13,677,234.5800","4,159,095.2600","9,943,994.9500","9,853,692.3600","6,657,350.0400","5,292,324.9700","2,646,392.1100",房地产业
000030.SZ,富奥股份,,,"1,389,731.6800","755,978.2300",,,,"1,883,601.8100","665,467.6300",,制造业
000031.SZ,大悦城,,"195,697,263.2600","230,852,044.1700","255,730,654.7400","215,066,986.5600","247,728,031.4000","173,509,638.4000","204,710,860.8600","442,679,160.5000","387,542,163.2300",房地产业
000032.SZ,深桑达A,,"1,554,580.0000","7,506,180.5800","5,474,789.2500","3,200,913.4600","2,032,431.8700","3,970,329.6700","3,794,776.6100","547,820.0000","40,230.0000",批发和零售业
000034.SZ,神州数码,"5,975,079.5500","6,291,492.3500","4,699,335.7800","4,355,439.6600","2,839,547.0000","173,549,344.4400","240,266,409.2200","205,434,799.8000","218,544,034.4400","246,158,875.3100",批发和零售业
000035.SZ,中国天楹,,,,,,,,,,,水利、环境和公共设施管理业
000036.SZ,华联控股,,,,"4,434,546.0000","14,395,176.0000","16,831,483.1700","21,573,162.3700","22,171,257.9000","21,486,978.8000","16,603,214.5300",房地产业
000037.SZ,深南电A,,,,,,,,,,,电力、热力、燃气及水生产和供应业
000038.SZ,深大通,,"698,063.0000","477,402.0000","670,304.1500","1,504,337.9000","2,743,149.2000","602,297.1800","230,717.3200","187,875.4700","3,042,895.4200",租赁和商务服务业
000039.SZ,中集集团,,,,"46,608,000.0000","57,885,000.0000","44,307,000.0000","49,150,000.0000","54,597,000.0000","48,267,000.0000","77,172,000.0000",制造业
000040.SZ,东旭蓝天,,"14,459,011.6000","32,377,191.6100","38,365,754.4100","30,987,782.3800","17,300,818.5300","51,163,411.8400","1,482,461.0400",,"368,548.8000",电力、热力、燃气及水生产和供应业
000042.SZ,中洲控股,,"24,097,445.2200","22,671,104.9500","69,465,828.2500","79,821,332.3800","91,271,333.9500","53,576,800.2400","58,072,527.3500","72,725,739.7300","64,927,486.1800",房地产业
000045.SZ,深纺织A,,"328,962.5800","164,933.0000","474,857.6300","235,641.2700","144,038.9900","674,444.6100","784,347.5900","840,435.9400",,制造业
000046.SZ,泛海控股,,"49,030,938.3800","107,579,723.0700","124,578,298.3900","198,082,135.9200","133,177,800.2000","74,602,133.7700","67,995,428.2400","42,125,359.5000","71,155,846.1100",金融业
000048.SZ,京基智农,,"4,922,020.8600","2,578,498.5500","20,174,584.1300","8,440,436.5900","10,707,610.8300",,"20,282,636.5800","5,779,399.7400","2,449,927.2700",制造业
000049.SZ,德赛电池,,"15,106,874.5500","17,937,397.9600","20,509,099.0800","22,052,233.8600","12,505,711.1300","15,290,958.6300","12,688,855.4900","12,362,863.1600","9,706,660.2900",制造业
000050.SZ,深天马A,,,,,"15,294,799.0000","5,866,899.5100","3,956,697.0000","14,254,898.5100","13,084,239.1300","8,893,980.0600",制造业
000055.SZ,方大集团,,,,"2,041,379.4200","25,047,722.7300","9,100,791.6300","5,698,609.9700","917,550.2000","2,060,937.5300","4,848,901.7700",制造业
000056.SZ,皇庭国际,,"10,814,263.1900","7,433,552.5200","28,364,950.0200","5,062,538.6600","5,120,539.5600","13,439,954.1700","26,609,957.8100","13,389,608.1500","4,956,738.4100",租赁和商务服务业
000058.SZ,深赛格,,,,,,,"10,574,005.3900","5,478,074.1200","2,221,453.5400","1,770,961.5700",租赁和商务服务业
000059.SZ,华锦股份,,"2,614,466.4100","1,595,298.0000","1,106,092.8700","29,920.0000","2,488,777.4100","3,235,056.0000","3,414,476.4200","6,163,725.3000","2,801,257.2000",制造业
000060.SZ,中金岭南,,"2,502,268.5500","913,940.5000","1,180,558.4500","884,769.3500","1,086,683.8600","951,001.2700","989,155.0400","998,283.4400","988,516.9800",制造业
000061.SZ,农产品,,"24,562,341.2400","17,894,497.7900",,,,,,,,租赁和商务服务业
000062.SZ,深圳华强,,"33,101,475.2400","43,287,572.8800","40,693,170.7600","26,675,127.2100","30,736,596.9000","52,470,041.7100","30,146,361.4800","11,483,703.6600","16,732,792.5200",批发和零售业
000063.SZ,中兴通讯,,"516,256,000.0000","567,876,000.0000","980,822,000.0000","1,469,907,000.0000","2,190,750,000.0000","1,411,784,000.0000","631,646,000.0000","878,488,000.0000","777,779,000.0000",制造业
000065.SZ,北方国际,,"6,369,899.9000","5,518,527.5000","1,111,313.7800","785,505.2300","9,608,548.7900","8,903,019.2900","4,606,813.4100","3,869,243.8900","3,688,390.2600",建筑业
000066.SZ,中国长城,,"689,614,237.2600","828,483,635.0500","575,936,992.0300","525,895,972.8200","400,319,861.5200",,,"4,790,555.5300","8,627,446.6600",制造业
000068.SZ,华控赛格,,,,"421,073.2300","318,962.9900","3,872.7700","178,582.3000","38,238.2300","12,948.0200","12,733.9800",科学研究和技术服务业
000069.SZ,华侨城A,,"355,498,745.9200","604,828,564.8300","559,372,420.7300","577,227,360.1400","571,050,940.9800","742,312,770.3000","1,023,559,243.9300","1,060,384,510.5700","1,661,291,768.4000",房地产业
000070.SZ,特发信息,,"15,057,263.5900","16,799,761.7700","21,027,488.8500","18,243,439.3300","24,848,161.8500","22,052,295.9800","17,683,155.0400","24,504,324.4400","19,735,696.8800",制造业
000078.SZ,海王生物,,"223,600,731.9600","319,371,247.8800","360,751,798.0600","338,269,280.3400","360,906,498.0900","593,690,546.8800","854,013,896.6200","917,275,842.7100","926,045,742.7700",批发和零售业
000088.SZ,盐田港,,,,,,"869,746.3200","600,578.3500","1,253,639.6200","528,622.5200","765,648.6500",交通运输、仓储和邮政业
000089.SZ,深圳机场,,"414,252.8600","1,625,401.5900","900,278.3500","836,175.4900",,,"1,966,867.7600","64,720.6700","1,221,123.0800",交通运输、仓储和邮政业
000090.SZ,天健集团,,"23,878,754.9200","56,691,982.8900","46,909,976.8700","18,542,939.4700","15,535,236.3500","25,257,063.0700","50,797,332.3100","48,628,982.4600","61,609,525.5100",建筑业
000096.SZ,广聚能源,,"81,809.0000","26,268.0000","33,349.4000","64,788.2000","52,158.0000","43,389.3400","18,455.3800","39,507.5400","11,578.2900",批发和零售业
000099.SZ,中信海直,,,,,,,,,,,交通运输、仓储和邮政业
000100.SZ,TCL科技,,,,,,,,,"659,771,000.0000","86,560,000.0000",制造业
000150.SZ,宜华健康,,"389,986.4000","5,529,644.3000","260,260.6000","1,987,337.1500","3,558,827.9500","9,735,897.2300","6,532,910.5800","2,489,274.4300","1,653,683.9500",卫生和社会工作
000151.SZ,中成股份,,,,,,,,,,,批发和零售业
000153.SZ,丰原药业,,"53,576,353.7300","51,967,936.8100","56,660,125.5000","47,760,864.5800","70,204,486.7800","225,865,235.9700","548,289,136.1500","588,440,428.3200","544,763,054.6800",制造业
000155.SZ,川能动力,,,,,,,,,,,电力、热力、燃气及水生产和供应业
000156.SZ,华数传媒,,,,,,,,,,,文化、体育和娱乐业
000157.SZ,中联重科,,"512,888,034.3100","421,421,672.9200","437,293,800.0800","151,726,239.1900","232,970,877.4000","208,290,119.4000","214,132,342.9800","304,212,201.7200","225,976,113.7600",制造业
000158.SZ,常山北明,,,,,"1,205,379.7500","1,733,417.8100","852,904.7900","1,411,595.3700","1,649,434.0200","255,462.3200",信息传输、软件和信息技术服务业
000159.SZ,国际实业,,"2,117,705.9300","4,063,598.9000","7,124,318.6900","2,260,760.2700","1,657,803.3800","109,833.8200","669,687.7800","1,106,534.9900","111,700.0000",批发和零售业
000166.SZ,申万宏源,,,,,,,,,,,金融业
000301.SZ,东方盛虹,,"1,454,678.6700","2,228,786.9800","138,858.0600","3,055,406.5500","14,885,746.5900","5,035,877.1300",,,,制造业
000333.SZ,美的集团,,,,,,,,,,,制造业
000338.SZ,潍柴动力,,"213,557,544.9600","335,186,274.7100","700,058,093.6500","736,362,843.7300","860,457,615.4400","862,083,257.2200","984,640,404.1300","1,187,760,564.1300","812,057,460.4000",制造业
000400.SZ,许继电气,,,"56,466,500.6100","34,422,049.2900","10,641,359.2000","52,069,964.1900","35,031,744.1800","5,839,163.1600","8,755,424.1200","31,441,422.3400",制造业
000401.SZ,冀东水泥,,"6,551,431.2300","5,243,810.1000","4,868,436.2900","4,115,772.5400","2,650,087.7400","5,472,732.2700","12,224,918.4100","20,771,824.3300","10,620,716.3300",制造业
000402.SZ,金融街,,,,,,,,,,,房地产业
000403.SZ,派林生物,,"1,771,308.7400","2,408,419.2300","366,967.0000","2,182,474.0000","624,051.0000","550,066.0000","130,014,631.7400","128,069,253.9300","144,796,193.5100",制造业
000404.SZ,长虹华意,,"5,933,839.0600","14,212,064.6800","17,553,514.9900","13,499,336.0400","15,864,870.4900","17,838,246.9900","25,547,122.4500","26,926,894.1300","27,181,091.5400",制造业
000407.SZ,胜利股份,,"1,646,825.5500","3,425,809.0600","4,564,970.1800","9,232,863.9300","2,785,446.5000","2,632,259.0200","3,062,517.5800","4,880,806.3100","2,876,167.7000",电力、热力、燃气及水生产和供应业
000408.SZ,藏格控股,,,,,,,,,"196,783.4100",,制造业
000409.SZ,山东地矿,,,,,"627,773.4400","2,670,287.9800","2,414,798.5200","2,282,216.1600","2,303,927.6500","1,054,589.5300",综合
000410.SZ,*ST沈机,,"42,368,423.0600","38,865,611.8900","29,064,697.6100","58,967,902.7700","38,595,800.2300","15,941,597.9000","11,006,539.3900","13,326,164.8500","765,775.0100",制造业
000411.SZ,英特集团,,"1,097,653.8800",,,,,,,,,批发和零售业
000413.SZ,东旭光电,,"1,415,958.9000","188,679.2000","1,029,214.7200","7,406,776.3800","9,388,489.1700","6,800,911.8100","10,333,401.7100","27,374,302.2400","8,805,150.9100",制造业
000415.SZ,渤海租赁,,"2,262,169.8300",,,,,,,,,租赁和商务服务业
000416.SZ,民生控股,,"2,381,473.7400","1,961,309.5700","1,652,207.9100","47,865,687.8800",,,,,,金融业
000417.SZ,合肥百货,,"64,309,768.5100","64,615,617.1400","76,100,640.9800","74,518,919.3000","63,075,609.8200","62,108,234.9200","56,356,893.4200","68,029,646.4400","57,933,149.0700",批发和零售业
000419.SZ,通程控股,,"28,635,887.4000","26,973,955.6000","26,062,010.9100","25,950,056.1900","23,380,292.0500","22,043,493.2700","26,916,306.8900","15,045,522.4800","8,302,383.7100",批发和零售业
000420.SZ,吉林化纤,,"1,026,736.7700","809,191.7900","189,884.5400",0.0000,,"301,284.9000","286,907.9600","112,118.4000","87,240.0000",制造业
000421.SZ,南京公用,,"7,284,658.4000","3,692,480.6500","4,709,359.9500","6,397,675.0300","14,339,230.8300","20,147,127.0400","21,224,251.7700","3,794,027.6600","11,751,456.4100",电力、热力、燃气及水生产和供应业
000422.SZ,ST宜化,,"1,772,518.6000","2,102,166.7500","1,536,540.9100","852,380.8200","970,265.0900","473,698.4500","170,044.0300",,,制造业
000423.SZ,东阿阿胶,,"437,130,743.6400","433,110,893.2700","409,438,621.3200","905,977,130.7100","1,191,070,941.2400","1,374,262,906.8600","1,247,747,031.3700","824,068,348.9700","459,037,945.3600",制造业
000425.SZ,徐工机械,,"225,269,142.3600","119,602,398.2400","124,670,883.3900","108,799,927.4800","109,990,795.3000","75,062,008.2600","66,762,846.3600","87,135,467.3000","124,516,128.7600",制造业
000426.SZ,兴业矿业,,,,,,,,,,,采矿业
000428.SZ,华天酒店,,"4,781,811.6200","5,488,911.5600","4,809,930.6800","1,967,183.1400","1,546,767.4100","7,437,178.6100","2,356,069.2000","704,400.3200","1,011,512.0500",住宿和餐饮业
000429.SZ,粤高速A,,,,,,,,,,,交通运输、仓储和邮政业
000430.SZ,张家界,,"6,540,501.5000","6,826,929.8300","9,826,425.4200","11,888,558.0000","12,294,503.3100","11,290,781.2100","7,949,901.8800","11,132,172.0600","10,323,696.9100",水利、环境和公共设施管理业
000488.SZ,晨鸣纸业,,,,,,,,,,,制造业
000498.SZ,山东路桥,,,,,,,,,,,建筑业
000501.SZ,鄂武商A,,,,,,,,,,,批发和零售业
000502.SZ,*ST绿景,,"52,080.0000","1,820.0000",,,,,,,,房地产业
000503.SZ,国新健康,,,,,,,,,,"548,200.0000",信息传输、软件和信息技术服务业
000504.SZ,南华生物,,"104,660.0000","28,999.9900","68,256.6100","13,977.0000","22,566.0000","221,533.7300","1,823,225.4200","2,411,435.3900","316,261.0600",科学研究和技术服务业
000505.SZ,京粮控股,,"1,206,511.3600","637,569.0000","1,690,187.0000","2,468,062.4800","1,825,544.9500","41,389,240.4700","36,103,375.0600","56,453,645.2100","39,131,372.8200",制造业
000506.SZ,中润资源,,,,,,,,,,,采矿业
000507.SZ,珠海港,,,,"7,736,507.4800","11,416,567.9300","7,972,828.0400","11,590,591.4600","9,772,155.9700","9,605,157.4900","6,209,721.3100",交通运输、仓储和邮政业
000509.SZ,*ST华塑,,"420,712.6600","171,628.5000",,,,,"2,396,908.4100","2,879,167.7000","1,549,286.5200",制造业
000510.SZ,新金路,,,,,,,,"5,817,755.2900","2,825,102.7800","497,534.2900",制造业
000513.SZ,丽珠集团,,,"1,638,620,348.2800","2,002,527,160.4900","2,317,726,850.7100","2,799,657,963.6100","2,963,479,279.4300","2,913,752,573.9300","2,708,111,339.1300","2,716,810,842.0300",制造业
000514.SZ,渝开发,,"32,644,436.7800","9,260,690.5900","9,529,027.8800","13,272,060.8300","13,445,986.7300","5,538,823.3200","2,954,141.4200","4,316,866.3900","5,391,815.1100",房地产业
000516.SZ,国际医学,,"25,125,497.5500","25,106,830.2000","24,547,909.6400","28,534,364.7100","24,318,989.7600","19,496,215.8100","5,759,515.1100","10,773,457.3700","9,409,141.0100",卫生和社会工作
000517.SZ,荣安地产,,"18,745,034.6000","16,540,300.3000","15,979,686.9500","11,174,068.9900","17,304,950.0500","30,888,632.1300","52,991,053.3400","184,594,050.8500","106,526,348.2600",房地产业
000518.SZ,四环生物,,"10,113,296.9400","374,616.0000","4,251,380.0000","10,819,946.4300","22,093,379.4100","81,864,000.6700","138,201,378.1200","78,142,385.8000","124,262,620.8900",制造业
000519.SZ,中兵红箭,,,"957,159.6300","357,508.9700","483,218.9100","529,436.5000","930,945.3700","997,995.5300","1,172,452.2000","605,588.5500",制造业
000520.SZ,长航凤凰,,,,,,,,,,,交通运输、仓储和邮政业
000521.SZ,长虹美菱,,"588,296,770.9800","619,482,459.2200","550,405,956.6100","198,951,666.7000","287,965,627.9200","405,522,393.5600","553,131,698.8800","514,422,155.2600","310,141,825.9000",制造业
000523.SZ,*ST浪奇,,"53,203,010.2600","54,287,788.8900","52,405,967.9600","42,704,917.2400","45,542,027.2600","53,901,314.9000","30,814,158.9100","49,868,720.0400","83,121,180.3800",制造业
000524.SZ,岭南控股,,"3,833,557.1300","3,614,004.6600","3,352,999.1300","4,076,150.5600","2,504,162.1500","62,305,427.2000","81,423,414.5900","88,579,733.5600","25,132,938.3200",住宿和餐饮业
000525.SZ,ST红太阳,,"6,637,500.5200","8,043,443.1500","5,751,972.4400","7,988,147.8200","6,283,773.7100","9,611,000.8000","2,679,928.6100","1,631,118.6600","4,748,877.5500",制造业
000526.SZ,学大教育,,,,,,"87,739,674.8200","195,924,776.5300","181,230,614.2600","190,700,188.0600","177,057,755.7200",教育
000528.SZ,柳工,,,"79,774,144.4200",,,,,,,,制造业
000529.SZ,广弘控股,,"3,590,843.0700","4,017,906.8400","2,888,638.8400","1,290,259.5300","467,046.9700","255,229.7200","1,815,250.3800","2,639,782.2000","3,652,881.0400",制造业
000530.SZ,冰山冷热,,,,,,,,,,,制造业
000531.SZ,穗恒运A,,"5,143,909.2000","755,000.0000","1,795,126.8000","387,040.8200","423,193.7400","64,935.0000","114,397.6700","637,312.5600","1,007,374.7400",电力、热力、燃气及水生产和供应业
000532.SZ,华金资本,,"507,728.3600","502,897.4200","251,817.3900","177,636.0900","280,376.1600","133,370.3100","634,039.8700","438,993.4400","1,151,699.5900",综合
000533.SZ,顺钠股份,,"64,303,070.6800","90,176,439.7500","110,166,615.9200","154,924,923.8100","229,462,093.7200","30,160.4200","38,817.7700",0.0000,,制造业
000534.SZ,万泽股份,,,,"4,017,008.9600","4,898,044.5400","930,988.0900","2,332,716.5600",,"19,286.5000","2,252,191.5700",制造业
000536.SZ,华映科技,,,,,,,,,,,制造业
000537.SZ,广宇发展,,"23,451,957.1300","19,084,132.8400","18,082,086.0700","71,416,575.6300","156,217,656.8200","485,548,785.6300","253,643,701.0900","212,168,042.7200","112,709,970.1400",房地产业
000538.SZ,云南白药,,"1,254,560,068.1500","1,255,110,659.8900","1,528,304,858.4600","1,556,645,727.2900","1,519,055,087.9500","2,179,150,443.4800","2,314,603,653.4600","2,259,052,531.7900","2,245,823,808.0800",制造业
000539.SZ,粤电力A,,,,,,,,,,,电力、热力、燃气及水生产和供应业
000540.SZ,中天金融,,"172,385,644.5300","189,340,369.4900","258,396,283.6800","259,699,576.2500","136,898,739.8600","250,521,860.2100","135,674,497.9200","145,575,075.7900","123,271,580.7000",房地产业
000541.SZ,佛山照明,,"26,670,360.3600","39,045,239.6500","79,958,260.7900","70,986,390.9700","54,805,758.2200","44,453,795.0200","57,484,842.4400","62,699,040.9300","33,691,629.6100",制造业
000543.SZ,皖能电力,,"233,780.0000",0.0000,,,,"65,293.4200","22,600.0000","76,222.7000","59,303.8600",电力、热力、燃气及水生产和供应业
000544.SZ,中原环保,,,,,,,,"220,770.4500","970,586.4200","1,128.7100",电力、热力、燃气及水生产和供应业
000545.SZ,金浦钛业,,,,"239,997.6400","420,961.1000","64,639.3200","205,498.0900","429,085.6100","342,185.3800",750.9400,制造业
000546.SZ,金圆股份,,"749,065.3600","410,224.0000","871,633.0000","1,197,202.3500","1,231,626.2500",,,,,水利、环境和公共设施管理业
000547.SZ,航天发展,,"123,280.0000","374,888.0000","368,014.3000",,,,,,,制造业
000548.SZ,湖南投资,,,,,,,,"1,357,692.8400","3,031,715.8500","3,481,259.4300",交通运输、仓储和邮政业
000550.SZ,江铃汽车,,"438,552,458.0000","672,428,610.0000","763,206,409.0000","653,405,536.0000","786,287,859.0000","1,385,760,311.0000","521,146,037.0000","681,145,063.0000","588,182,900.0000",制造业
000551.SZ,创元科技,,"3,425,881.8200","3,471,813.8700","3,836,905.2800","3,384,182.1100","4,079,545.0800","4,244,337.2700","4,775,933.2500","6,219,098.8100","2,649,873.9200",综合
000552.SZ,靖远煤电,,,,"97,815.0000","20,780.0000","8,854.7200",0.0000,,,,采矿业
000553.SZ,安道麦A,,"1,564,068.1300","1,185,583.3000","899,492.5300","620,071.3400","616,901.9400","326,194,000.0000","326,707,000.0000","331,763,000.0000","302,921,000.0000",制造业
000554.SZ,泰山石油,,,,,,,,,,,批发和零售业
000555.SZ,神州信息,,,"2,316,843.7100","2,577,078.9200","2,088,341.9900","9,249,020.5500","10,066,725.8400","11,982,779.6600","10,984,014.0000","5,831,047.3400",信息传输、软件和信息技术服务业
000557.SZ,西部创业,,"43,836.9900","575,469.0200","340,012.7100","853,561.9000","474,402.7800","316,406.0200","130,135.2000","167,154.1900","138,275.1800",交通运输、仓储和邮政业
000558.SZ,莱茵体育,,"27,051,581.5100","28,288,322.7700","31,104,503.7400","36,040,195.4200","5,109,191.0700","2,859,930.0700","1,512,094.4400","551,126.7300","64,190.5400",房地产业
000559.SZ,万向钱潮,,,,,,,,,,,制造业
000560.SZ,我爱我家,,"13,945,751.0600","21,952,827.2900","28,405,504.8400","21,756,282.2900","17,698,385.0100","14,001,093.4700","98,281,021.4500","103,675,250.2700","181,526,307.4100",房地产业
000561.SZ,烽火电子,,,,,,,,,,,制造业
000563.SZ,陕国投A,,,,,,,,,,,金融业
000564.SZ,*ST大集,,"23,432,753.3000","30,566,820.6800","42,115,755.7500","55,068,373.4400","107,627,627.2500","96,637,056.6200","93,569,114.5700","40,598,271.5500","12,862,063.3300",批发和零售业
000565.SZ,渝三峡A,,"777,069.0000","827,949.5400","436,806.1500","568,475.6300","18,562.2600","331,012.2800","268,415.3300","867,576.8100",,制造业
000566.SZ,海南海药,,"163,471,228.1700","165,326,569.6500","156,089,786.2700","228,649,210.4300","277,530,914.5900","425,415,281.1500","666,147,454.9700","973,649,360.2800","830,121,135.9200",制造业
000567.SZ,海德股份,,,,,,,,,,,金融业
000568.SZ,泸州老窖,,"229,591,168.7400","209,746,014.8500","203,342,304.9600","471,441,356.4100","1,130,105,186.2000",,,,"2,391,131,539.6500",制造业
000570.SZ,苏常柴A,,"12,558,902.1000","12,643,326.0800","9,108,769.4000","9,218,580.0000","9,370,719.4100","17,037,228.2000","11,065,465.8400","5,260,765.6300","6,859,494.2500",制造业
000571.SZ,*ST大洲,,,,"3,186,956.9000","3,071,455.1900","1,789,173.6400","950,967.6100","947,478.5600","1,800,334.0400","1,998,936.8200",综合
000572.SZ,ST海马,,,"66,251,721.3100","160,420,224.2000","167,110,713.5300","205,909,496.0300","211,776,732.2700","181,565,788.2300","172,667,365.1100","17,040,006.9300",制造业
000573.SZ,粤宏远A,,"12,166,248.1900","27,339,123.1600","17,843,173.5500","20,080,325.8300","20,563,433.7200","10,400,026.4900","3,393,246.3200","6,792,003.0600","4,414,167.9800",房地产业
000576.SZ,甘化科工,,"36,861.7000","191,397.8700","324,280.8300","296,719.2100","580,996.1700","148,399.5500",,,,制造业
000581.SZ,威孚高科,,,,,,,,,,,制造业
000582.SZ,北部湾港,,,,,,,,,,,交通运输、仓储和邮政业
000584.SZ,哈工智能,,"15,989,266.6600","31,586,911.3500","11,368,823.1400","6,914,121.4500","3,226,017.9900","43,958,626.9400",,,,制造业
000585.SZ,*ST东电,,"531,800.0000",,,,,,,,,制造业
000586.SZ,汇源通信,,"2,440,340.0800","1,758,168.7500","983,846.7000","1,154,956.4800","803,069.6100","1,375,023.2100","831,697.4900","1,420,159.3700","778,483.6500",制造业
000587.SZ,*ST金洲,,"10,695,382.1000","12,486,701.4900","6,439,732.5200","23,259,950.1300","9,461,562.0700","13,368,474.8200","6,923,473.5400","2,781,080.8800","588,986.2300",制造业
000589.SZ,贵州轮胎,,"10,282,471.0100","14,888,832.5400","12,773,067.5400","17,823,117.4300","17,206,056.1000","9,945,412.3500","17,002,429.8400","19,369,249.8200","16,903,833.3900",制造业
000590.SZ,启迪药业,,"17,742,609.6500","20,480,523.9900","11,405,356.5500","15,508,232.1500","15,478,894.8900","29,311,468.0500","9,808,702.5700","13,229,758.9300","10,513,045.1400",制造业
000591.SZ,太阳能,,"101,876,056.0400","115,312,304.5700","92,321,150.9100","1,594,613.2200","2,272,706.5700","2,699,309.1300","3,697,265.2500","3,308,827.3400","721,774.8600",电力、热力、燃气及水生产和供应业
000592.SZ,平潭发展,,,,"4,125,625.0100","2,592,718.0000","3,926,325.4100","2,758,700.7700","862,912.1000","8,206,121.0300","29,123,508.7100",农、林、牧、渔业
000593.SZ,大通燃气,,"2,619,638.4000","3,680,041.5100","2,415,332.2000","1,689,225.6800","1,512,850.4200","11,080.7900",,,,电力、热力、燃气及水生产和供应业
000595.SZ,*ST宝实,,"342,867.0000","208,510.1900","225,366.0000","1,080.0000",0.0000,,,,,制造业
000596.SZ,古井贡酒,,"574,058,977.0600","715,740,860.6000","729,595,442.1100","818,863,506.1600","1,068,221,253.4200","1,126,575,607.3800","643,845,577.7700","876,445,646.8800","840,407,171.9600",制造业
000597.SZ,东北制药,,"30,058,685.3900","17,667,998.7200","10,232,924.4300","11,796,726.0000",,,,"16,078,147.8600","3,347,298.1600",制造业
